Pytanie|label|Odpowiedź
Co z moim zaległym urlopem? Czy mogę dostać go w formie pieniężnej?|ekwiwalent urlopu|Ekwiwalent pieniężny za niewykorzystany urlop wypoczynkowy może zostać wypłacony pracownikowi tylko w przypadku rozwiązania umowy o pracę.
Czy mogę zamienić niewykorzystany urlop na coś innego?|ekwiwalent urlopu|Ekwiwalent pieniężny za niewykorzystany urlop wypoczynkowy może zostać wypłacony pracownikowi tylko w przypadku rozwiązania umowy o pracę.
Czy istnieje możliwość zamiany niewykorzystanego urlopu na ekwiwalent?|ekwiwalent urlopu|Ekwiwalent pieniężny za niewykorzystany urlop wypoczynkowy może zostać wypłacony pracownikowi tylko w przypadku rozwiązania umowy o pracę.
Chcę otrzymać ekwiwalent za niewykorzystany urlop|ekwiwalent urlopu|Ekwiwalent pieniężny za niewykorzystany urlop wypoczynkowy może zostać wypłacony pracownikowi tylko w przypadku rozwiązania umowy o pracę.
Chciałbym dostać wynagrodzenie za niewykorzystany urlop|ekwiwalent urlopu|Ekwiwalent pieniężny za niewykorzystany urlop wypoczynkowy może zostać wypłacony pracownikowi tylko w przypadku rozwiązania umowy o pracę.
Chciałbym dostać wynagrodzenie za dni urlopowe które mi zostały|ekwiwalent urlopu|Ekwiwalent pieniężny za niewykorzystany urlop wypoczynkowy może zostać wypłacony pracownikowi tylko w przypadku rozwiązania umowy o pracę.
Czy mogę otrzymać ekwiwalent za dni urlopowe, których nie wykorzystałem?|ekwiwalent urlopu|Ekwiwalent pieniężny za niewykorzystany urlop wypoczynkowy może zostać wypłacony pracownikowi tylko w przypadku rozwiązania umowy o pracę.
Czy mogę zamienić niewykorzystany urlop na odpowiednik wynagrodzenia?|ekwiwalent urlopu|Ekwiwalent pieniężny za niewykorzystany urlop wypoczynkowy może zostać wypłacony pracownikowi tylko w przypadku rozwiązania umowy o pracę.
Czy nasza firma ma elastyczne podejście do pracy?|elastyczna praca|W naszej firmie zostały wdrożone rozwiązania mające służyć uelastycznieniu pracy, nie dotyczy to jednak wszystkich pracowników, jedynie tych u których tą elastyczność można zastosować. Rozwiązania dające elastyczność pracy: okazjonalna praca z domu – w niektórych sytuacjach, możemy pracować poza biurem, istnieje możliwość okazjonalnej pracy z domu (tzw. home office), są również elastyczne godziny rozpoczęcia pracy (od 7:30 do 10:00). 
Czy godziny pracy są elastyczne?|elastyczna praca|W naszej firmie zostały wdrożone rozwiązania mające służyć uelastycznieniu pracy, nie dotyczy to jednak wszystkich pracowników, jedynie tych u których tą elastyczność można zastosować. Rozwiązania dające elastyczność pracy: okazjonalna praca z domu – w niektórych sytuacjach, możemy pracować poza biurem, istnieje możliwość okazjonalnej pracy z domu (tzw. home office), są również elastyczne godziny rozpoczęcia pracy (od 7:30 do 10:00). 
Czy czas pracy może być elastyczny?|elastyczna praca|W naszej firmie zostały wdrożone rozwiązania mające służyć uelastycznieniu pracy, nie dotyczy to jednak wszystkich pracowników, jedynie tych u których tą elastyczność można zastosować. Rozwiązania dające elastyczność pracy: okazjonalna praca z domu – w niektórych sytuacjach, możemy pracować poza biurem, istnieje możliwość okazjonalnej pracy z domu (tzw. home office), są również elastyczne godziny rozpoczęcia pracy (od 7:30 do 10:00). 
Czy są zasady dotyczące pracy zdalnej?|elastyczna praca|W naszej firmie zostały wdrożone rozwiązania mające służyć uelastycznieniu pracy, nie dotyczy to jednak wszystkich pracowników, jedynie tych u których tą elastyczność można zastosować. Rozwiązania dające elastyczność pracy: okazjonalna praca z domu – w niektórych sytuacjach, możemy pracować poza biurem, istnieje możliwość okazjonalnej pracy z domu (tzw. home office), są również elastyczne godziny rozpoczęcia pracy (od 7:30 do 10:00). 
Czy nasza firma ma elastyczne podejście do pracy?|elastyczna praca|W naszej firmie zostały wdrożone rozwiązania mające służyć uelastycznieniu pracy, nie dotyczy to jednak wszystkich pracowników, jedynie tych u których tą elastyczność można zastosować. Rozwiązania dające elastyczność pracy: okazjonalna praca z domu – w niektórych sytuacjach, możemy pracować poza biurem, istnieje możliwość okazjonalnej pracy z domu (tzw. home office), są również elastyczne godziny rozpoczęcia pracy (od 7:30 do 10:00). 
Gdzie jest bot? |emplocity|W Emplocity :)
Gdzie jesteś?|emplocity|W Emplocity :)
Gdzie mieszkasz? |emplocity|W Emplocity :)
Skąd przybywasz?|emplocity|W Emplocity :)
ZUS druki         |Formularze ZUS|Wszytskie formularze ZUS są dostępne pod tym adresem: http://www.zus.pl/wzory-formularzy
Jakie dokumenty musze wypełnić do złożenia świadczenia przedemerytalnego ?|Formularze ZUS|Wszytskie formularze ZUS są dostępne pod tym adresem: http://www.zus.pl/wzory-formularzy
Szukam formularzy do złożenia podania o emeryture do ZUS ?|Formularze ZUS|Wszytskie formularze ZUS są dostępne pod tym adresem: http://www.zus.pl/wzory-formularzy
Jaki formularz do renty ?|Formularze ZUS|Wszytskie formularze ZUS są dostępne pod tym adresem: http://www.zus.pl/wzory-formularzy
Jaki formularz do ZUS o świadczenie rehabilitacyjne ?|Formularze ZUS|Wszytskie formularze ZUS są dostępne pod tym adresem: http://www.zus.pl/wzory-formularzy
Która godzina? |godzina|Odpowiednia na przerwę! 
Godzina?|godzina|Odpowiednia na przerwę! 
Jaką mamy godzinę?|godzina|Odpowiednia na przerwę! 
Jaka to pora dnia?|godzina|Odpowiednia na przerwę! 
Na czym polega praca zdalna? |Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jakie są zasady udzielania home office?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jakie są zasady udzielania pracy zdalnej?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jakie są zasady pracowania zdalnie|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Czy u nas w firmie występuje praca zdalna z domu?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Czy mogę pracować zdalnie z domu?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Czy mogę pracować poza biurem?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Czy mogę mieć home office?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Czy jest możliwość pracy zdalnej z domu?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Czy jest możliwość pracy poza biurem?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Czy u nas w firmie występuje praca zdalna z domu?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
praca zdalna zgoda |Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jak wygląda możliwość pracy w domu?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jak mogę wziąć home office?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jak mogę formalnie zgłosić home office?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
home office|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Zgłoszenie home office|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Zgłoszenie pracy zdalnej|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Chcę pracować zdalnie|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jak zgłosić pracę zdalną?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Praca zdalna|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jak zgłosić home office?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Kiedy mogę pracować zdalnie z domu?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Co zrobić, żeby móc pracować zdalnie z domu?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Czy potrzebna jest zgoda przełożonego do pracy zdalnej?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Czy potrzebuję zgody szefa na home office?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jak uzyskać możliwość pracy zdalnej?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jak wygląda proces związany ze skorzystaniem z możliwości pracy w domu?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Jak mogę wziąć home office?|Home office|"- osoba pracująca zdalnie musi być przez 8 godzin dostępna na slacku/mailu/jirze i pod telefonem :) - jeśli ktoś pracuje zdalnie ma obowiązek uczestniczenia we wszystkich zaplanowanych spotkaniach  /videocall, call/-
jeśli ktoś chce pracować zdalnie powinien minimum dzień wcześniej poinformować i uzyskać zgodę przełozonego. O nieobecnościach i wcześniejszych wyjściach bądź późniejszych przyjściach do biura również informujcie przełożonego."
Ile należy się dni urlopu okolicznościowego?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Ile należy się urlopu okolicznościowego gdy biorę ślub?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Planuję ślub, ile będę mieć urlopu okolicznościowego?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Zmarła mi mama, ile będę mieć urlopu okolicznościowego?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Ile będę mieć urlopu okolicznościowego w przypadku śmierci mamy?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Liczba dni w urlopie okoliczonościowym|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Urodziło mi się dziecko, czy przysługuje mi urlop okolicznościowy?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Ile mam dni urlopu w przypadku urodzenia dziecka?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Ile mam dni urlopu w przypadku śmierci kogoś z rodziny?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Na jakie okazje mogę wziąć urlop okolicznościowy?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Ile należy się dni urlopu okolicznościowego?|ile urlop okolicznościowy|2 dni – w razie ślubu pracownika lub urodzenia się jego dziecka albo zgonu i pogrzebu małżonka pracownika lub jego dziecka, ojca, matki, ojczyma lub macochy; 1 dzień – w razie ślubu dziecka pracownika albo zgonu i pogrzebu jego siostry, brata, teściowej, teścia, babki, dziadka, a także innej osoby pozostającej na utrzymaniu pracownika lub pod jego bezpośrednią opieką.
Co mam zrobić, aby skorzystać z urlopu macierzyńskiego?|jak skorzystać macierzyński|"Pracodawca udziela urlopu macierzyńskiego bez wniosku pracownicy, która urodziła dziecko/dzieci, bowiem przysługuje on ""z urzędu"" na mocy art. 180 § 1 Kodeksu pracy (Dz. U. z 1998 r. nr 21, poz. 94 ze zm.). Pracownica nie ma więc obowiązku składania wniosku o podstawowy urlop macierzyński. Pracownica jest zobowiązana dostarczyć Pracodawcy jedynie akt urodzenia dziecka."
Do kogo zwrócić się o macierzyński?|jak skorzystać macierzyński|"Pracodawca udziela urlopu macierzyńskiego bez wniosku pracownicy, która urodziła dziecko/dzieci, bowiem przysługuje on ""z urzędu"" na mocy art. 180 § 1 Kodeksu pracy (Dz. U. z 1998 r. nr 21, poz. 94 ze zm.). Pracownica nie ma więc obowiązku składania wniosku o podstawowy urlop macierzyński. Pracownica jest zobowiązana dostarczyć Pracodawcy jedynie akt urodzenia dziecka."
Gdzie zgłosić urlopu macierzyński?|jak skorzystać macierzyński|"Pracodawca udziela urlopu macierzyńskiego bez wniosku pracownicy, która urodziła dziecko/dzieci, bowiem przysługuje on ""z urzędu"" na mocy art. 180 § 1 Kodeksu pracy (Dz. U. z 1998 r. nr 21, poz. 94 ze zm.). Pracownica nie ma więc obowiązku składania wniosku o podstawowy urlop macierzyński. Pracownica jest zobowiązana dostarczyć Pracodawcy jedynie akt urodzenia dziecka."
jak wziąć urlop macierzyński?|jak skorzystać macierzyński|"Pracodawca udziela urlopu macierzyńskiego bez wniosku pracownicy, która urodziła dziecko/dzieci, bowiem przysługuje on ""z urzędu"" na mocy art. 180 § 1 Kodeksu pracy (Dz. U. z 1998 r. nr 21, poz. 94 ze zm.). Pracownica nie ma więc obowiązku składania wniosku o podstawowy urlop macierzyński. Pracownica jest zobowiązana dostarczyć Pracodawcy jedynie akt urodzenia dziecka."
jak zgłosić urlop macierzyński?|jak skorzystać macierzyński|"Pracodawca udziela urlopu macierzyńskiego bez wniosku pracownicy, która urodziła dziecko/dzieci, bowiem przysługuje on ""z urzędu"" na mocy art. 180 § 1 Kodeksu pracy (Dz. U. z 1998 r. nr 21, poz. 94 ze zm.). Pracownica nie ma więc obowiązku składania wniosku o podstawowy urlop macierzyński. Pracownica jest zobowiązana dostarczyć Pracodawcy jedynie akt urodzenia dziecka."
Co mam zrobić, aby skorzystać z urlopu rodzicielskiego?|jak skorzystać rodzicielski|Nie później niż 21 dni po porodzie pracownica może złożyć wspólny wniosek o udzielenie bezpośrednio po urlopie macierzyńskim urlopu rodzicielskiego w pełnym wymiarze. Za cały ten okres zostanie wypłacone 80% podstawy wymiaru zasiłku. Jeżeli wniosek będzie złożony w terminie późniejszym niż 21 dni przed rozpoczęciem urlopu, wtedy za urlop mac. i pierwsze 6 tygodni urlopu rodz. wypłacone będzie 100% podstawy wymiaru zasiłku, a za resztę urlopu rodz. 60% ww. Podstawy.
Do kogo zwrócić się o rodzicielski?|jak skorzystać rodzicielski|Nie później niż 21 dni po porodzie pracownica może złożyć wspólny wniosek o udzielenie bezpośrednio po urlopie macierzyńskim urlopu rodzicielskiego w pełnym wymiarze. Za cały ten okres zostanie wypłacone 80% podstawy wymiaru zasiłku. Jeżeli wniosek będzie złożony w terminie późniejszym niż 21 dni przed rozpoczęciem urlopu, wtedy za urlop mac. i pierwsze 6 tygodni urlopu rodz. wypłacone będzie 100% podstawy wymiaru zasiłku, a za resztę urlopu rodz. 60% ww. Podstawy.
Jak wziąć urlop okolicznościowy?|jak urlop okolicznościowy|Urlop okolicznościowy jest zwolnieniem od pracy, za które pracownik zachowuje prawo do wynagrodzenia. Aby pracownik mógł skorzystać z urlopu okolicznościowego, musi wystąpić konkretna przyczyna (okoliczność). Na urlop okolicznościowy należy wystawić wniosek w samoobsłudze pracowniczej a następnie dostarczyć do wglądu dokument poświadczający daną okoliczność np. Akt urodzenia dziecka.
